Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
172,400(6c267),51.552902,-0.054353,54(faeaa),51.550118,-0.045933,659.3648688297133
173,553(b85d9),51.545342,-0.056118,324(7040f),51.54402,-0.066991,766.1309304854502
174,324(7040f),51.54402,-0.066991,186(af4ce),51.54558,-0.075477,611.9281648199762
175,31(9db58),51.518422,-0.073278,269(5b793),51.509785,-0.068095,1025.1761315198282
176,357(4b986),51.490506,-0.185834,420(ccae0),51.482585,-0.177824,1040.8494388540873
177,420(ccae0),51.482585,-0.177824,563(15c85),51.475383,-0.185383,956.7403429084917
178,563(15c85),51.475383,-0.185383,225(4dd65),51.47611,-0.198156,888.3094150850058
179,515(8e105),51.542136,-0.040709,343(0a7a9),51.537288,-0.02778,1044.0987591500855
180,25(ca409),51.515434,-0.175432,300(f4d9e),51.522669,-0.165413,1061.9700647368925
181,300(f4d9e),51.522669,-0.165413,56(e0a06),51.525009,-0.164973,261.9707695809651
182,56(e0a06),51.525009,-0.164973,568(9302e),51.525009,-0.164973,0.0
183,563(15c85),51.475383,-0.185383,170(22e48),51.46891,-0.173905,1072.4193039672448
184,170(22e48),51.46891,-0.173905,180(22e22),51.468986,-0.167855,419.154310302293
185,180(22e22),51.468986,-0.167855,76(c232d),51.473158,-0.168955,470.12031404522514
186,180(22e22),51.468986,-0.167855,555(395c9),51.462958,-0.169349,678.2256536845
187,539(fb56c),51.497809,-0.04918,278(59add),51.500588,-0.034134,1086.3837455113535
188,278(59add),51.500588,-0.034134,309(22d14),51.50993,-0.030302,1072.1067861695687
189,286(f2fb7),51.570207,-0.130917,85(7cd8b),51.576143,-0.14398,1118.3343639007087
190,313(916a4),51.47824,-0.026066,518(a02b4),51.46836,-0.023037,1118.4575938255866
191,278(59add),51.500588,-0.034134,117(f0ed5),51.50033,-0.017778,1132.5220066083464
192,343(0a7a9),51.537288,-0.02778,61(bb3a6),51.527833,-0.021673,1133.0390662787697
193,61(bb3a6),51.527833,-0.021673,427(aae64),51.523768,-0.016861,561.3673290804353
194,61(bb3a6),51.527833,-0.021673,528(01c6c),51.520779,-0.031636,1044.191409783579
195,442(3f894),51.490054,-0.204348,154(5f5b4),51.489693,-0.220797,1139.5676825486037
196,352(8c1e3),51.473079,-0.061107,428(c543e),51.467667,-0.047126,1140.152093910792
197,518(a02b4),51.46836,-0.023037,327(9a790),51.462846,-0.009109,1143.164114322412
198,205(116db),51.513647,-0.18196,206(3f4fb),51.505474,-0.192517,1166.0605797330966
199,206(3f4fb),51.505474,-0.192517,291(d24e7),51.501376,-0.189797,493.03677669152984
200,291(d24e7),51.501376,-0.189797,441(7d2d7),51.50062,-0.193474,268.04124406576796
201,0(47823),51.483548,-0.009691,368(64e7a),51.487124,0.006338,1178.9707345459196
202,368(64e7a),51.487124,0.006338,106(74aa7),51.48573,0.014732,601.5242531719737
203,106(74aa7),51.48573,0.014732,305(b9086),51.485777,0.017226,172.76887244317035
204,305(b9086),51.485777,0.017226,7(cee38),51.49214,0.01742,707.6608055359679
205,76(c232d),51.473158,-0.168955,113(dc716),51.47597,-0.152167,1204.0309756740642
206,113(dc716),51.47597,-0.152167,464(9410e),51.481028,-0.143293,833.063672752665
207,464(9410e),51.481028,-0.143293,67(c2856),51.475576,-0.138028,707.4374605900306
208,537(198db),51.536473,-0.100995,72(ffb25),51.547152,-0.105771,1232.5310623122396
209,72(ffb25),51.547152,-0.105771,109(f1a4e),51.54757,-0.11047,328.23635864743244
210,109(f1a4e),51.54757,-0.11047,387(a661b),51.552087,-0.115678,618.0201460365786
211,327(9a790),51.462846,-0.009109,188(d15fd),51.454274,0.003127,1275.6183827769232
212,67(c2856),51.475576,-0.138028,239(5042a),51.464088,-0.136062,1284.6453856815456
213,239(5042a),51.464088,-0.136062,4(0e16a),51.46327,-0.134987,117.55522555667702
214,4(0e16a),51.46327,-0.134987,51(98adb),51.462029,-0.137787,238.052040801969
215,51(98adb),51.462029,-0.137787,177(31fc0),51.462029,-0.137787,0.0
216,51(98adb),51.462029,-0.137787,430(f068b),51.454757,-0.142531,872.8579118547401
217,430(f068b),51.454757,-0.142531,524(0c7b9),51.453122,-0.142036,185.01078737985242
218,524(0c7b9),51.453122,-0.142036,371(7cb4d),51.446032,-0.135589,906.1584306167199
219,371(7cb4d),51.446032,-0.135589,164(d70ae),51.44613,-0.124835,745.3569398881872
220,371(7cb4d),51.446032,-0.135589,339(cad0c),51.445662,-0.148556,899.5892396977141
221,339(cad0c),51.445662,-0.148556,496(9be80),51.443638,-0.152494,353.74749331422555
222,496(9be80),51.443638,-0.152494,335(6e85a),51.438791,-0.155941,589.5405880514452
223,335(6e85a),51.438791,-0.155941,572(97951),51.443817,-0.166747,934.4896803831059
224,4(0e16a),51.46327,-0.134987,215(3e026),51.45539,-0.127464,1019.5168190118877
225,215(3e026),51.45539,-0.127464,178(a7f6f),51.455502,-0.122652,333.64693294368993
226,178(a7f6f),51.455502,-0.122652,133(eae5e),51.460693,-0.120538,595.5057913843012
227,133(eae5e),51.460693,-0.120538,322(b7969),51.462606,-0.114788,451.5891853170783
228,164(d70ae),51.44613,-0.124835,484(144e9),51.436987,-0.128346,1045.3728575757998
229,484(144e9),51.436987,-0.128346,222(9e57f),51.432096,-0.130689,567.588476330275
230,322(b7969),51.462606,-0.114788,560(71547),51.454287,-0.105847,1113.2913665746878
231,560(71547),51.454287,-0.105847,273(604fc),51.453099,-0.10355,206.8392981276858
232,468(67e12),51.515267,-0.181478,93(3f884),51.517255,-0.20077,1353.103723326378
233,93(3f884),51.517255,-0.20077,433(5f5cc),51.51525,-0.206081,429.83742094290324
234,327(9a790),51.462846,-0.009109,507(2e6f4),51.466898,0.009554,1369.118497258726
235,507(2e6f4),51.466898,0.009554,372(ca21a),51.473036,0.023388,1176.445802460587
236,186(af4ce),51.54558,-0.075477,302(f1507),51.557771,-0.08245,1438.762055588578
237,302(f1507),51.557771,-0.08245,9(ed4c1),51.559728,-0.097732,1078.6415556234615
238,9(ed4c1),51.559728,-0.097732,336(3a074),51.560381,-0.099148,121.8774530873792
239,336(3a074),51.560381,-0.099148,513(42ba6),51.563272,-0.103875,458.3800318660987
