Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
158,166(5ffeb),51.554333,-0.315427,457(e1cd5),51.555153,-0.316811,132.1725249731331
159,457(e1cd5),51.555153,-0.316811,415(0db30),51.556456,-0.312969,302.56543399890774
160,415(0db30),51.556456,-0.312969,144(a47d7),51.570846,-0.295091,2021.7546433739346
161,144(a47d7),51.570846,-0.295091,233(3a16f),51.558988,-0.250049,3381.0857010036707
162,233(3a16f),51.558988,-0.250049,275(f47a9),51.558235,-0.245403,331.91894651325526
163,275(f47a9),51.558235,-0.245403,48(304bf),51.549418,-0.239714,1056.3634550653571
164,48(304bf),51.549418,-0.239714,549(92504),51.549724,-0.22062,1320.6959473263187
165,549(92504),51.549724,-0.22062,271(67275),51.548631,-0.200903,1368.7532569176037
166,271(67275),51.548631,-0.200903,6(67ce6),51.542493,-0.198751,698.5495261470681
167,6(67ce6),51.542493,-0.198751,534(ba3d9),51.540267,-0.195551,332.02667021892887
168,534(ba3d9),51.540267,-0.195551,482(95134),51.535076,-0.189556,710.7008670789294
169,482(95134),51.535076,-0.189556,74(1ff43),51.54276,-0.181132,1034.1552411412251
170,74(1ff43),51.54276,-0.181132,260(bf0de),51.546295,-0.179462,409.6877522578145
171,260(bf0de),51.546295,-0.179462,565(7e786),51.553632,-0.166129,1231.0556377441108
172,565(7e786),51.553632,-0.166129,568(9302e),51.525009,-0.164973,3183.7363910239324
173,568(9302e),51.525009,-0.164973,56(e0a06),51.525009,-0.164973,0.0
174,56(e0a06),51.525009,-0.164973,300(f4d9e),51.522669,-0.165413,261.9707695809651
175,300(f4d9e),51.522669,-0.165413,25(ca409),51.515434,-0.175432,1061.9700647368925
176,25(ca409),51.515434,-0.175432,296(99d29),51.50835,-0.170369,862.1132939139954
177,296(99d29),51.50835,-0.170369,516(5291f),51.51335,-0.159461,937.5218623016615
178,516(5291f),51.51335,-0.159461,481(a4cdd),51.514052,-0.154345,362.52889775422295
179,481(a4cdd),51.514052,-0.154345,492(1f4d0),51.517684,-0.151474,450.0775190237132
180,492(1f4d0),51.517684,-0.151474,116(44dd1),51.514195,-0.145735,555.1706306226264
181,116(44dd1),51.514195,-0.145735,431(3b420),51.512336,-0.14705,225.85460456692428
182,431(3b420),51.512336,-0.14705,39(ae31c),51.509097,-0.146936,360.2467639715176
183,39(ae31c),51.509097,-0.146936,108(7c283),51.513827,-0.142363,613.8208034310899
184,108(7c283),51.513827,-0.142363,281(7be72),51.512078,-0.141526,202.92188573942673
185,281(7be72),51.512078,-0.141526,131(ff1b8),51.508087,-0.124122,1283.6008539681861
186,131(ff1b8),51.508087,-0.124122,46(93619),51.508409,-0.123461,58.09233095522444
187,46(93619),51.508409,-0.123461,235(63a49),51.510373,-0.120887,281.82533538957665
188,235(63a49),51.510373,-0.120887,98(a0647),51.506998,-0.113994,606.9677865849076
189,98(a0647),51.506998,-0.113994,485(7fa41),51.501201,-0.111971,659.6294377908246
190,485(7fa41),51.501201,-0.111971,289(8e3a4),51.495541,-0.116432,701.0404958621498
191,289(8e3a4),51.495541,-0.116432,103(49fc4),51.490825,-0.111492,626.0627633101841
192,103(49fc4),51.490825,-0.111492,545(7fc2d),51.490825,-0.111492,0.0
193,545(7fc2d),51.490825,-0.111492,533(2cc42),51.489205,-0.114195,259.7532399780288
194,533(2cc42),51.489205,-0.114195,419(810b6),51.488618,-0.122473,576.8511152463378
195,419(810b6),51.488618,-0.122473,407(29946),51.485535,-0.124227,363.69054893767014
196,407(29946),51.485535,-0.124227,532(73b8a),51.487966,-0.110415,993.8196236259514
197,532(73b8a),51.487966,-0.110415,373(12ddb),51.487289,-0.110774,79.27665360767745
198,373(12ddb),51.487289,-0.110774,34(573ab),51.47953,-0.110317,863.3415999382829
199,34(573ab),51.47953,-0.110317,519(10c55),51.483491,-0.103398,650.8120763291422
200,519(10c55),51.483491,-0.103398,97(7fe42),51.48753,-0.097339,614.5888025385096
201,97(7fe42),51.48753,-0.097339,159(5db1a),51.488202,-0.097211,75.24673178036318
202,159(5db1a),51.488202,-0.097211,579(af3c2),51.493347,-0.093957,614.8586319707669
203,579(af3c2),51.493347,-0.093957,135(8a2d7),51.496888,-0.094356,394.70891949662047
204,135(8a2d7),51.496888,-0.094356,301(4ab5a),51.497784,-0.094708,102.5671457834401
205,301(4ab5a),51.497784,-0.094708,456(846ba),51.497367,-0.098947,297.0820480621511
206,456(846ba),51.497367,-0.098947,246(8b9eb),51.506374,-0.100949,1011.073897220313
207,246(8b9eb),51.506374,-0.100949,353(57060),51.505386,-0.089938,769.9661329921278
208,353(57060),51.505386,-0.089938,33(10f92),51.505414,-0.088338,110.7833868351234
209,33(10f92),51.505414,-0.088338,317(7a2b1),51.504168,-0.089168,149.98647870107217
210,317(7a2b1),51.504168,-0.089168,38(46b61),51.502367,-0.090684,226.08703473469777
211,38(46b61),51.502367,-0.090684,422(19308),51.497037,-0.090273,593.3514018153601
212,422(19308),51.497037,-0.090273,413(c7f7f),51.491926,-0.088441,582.2968932307531
213,413(c7f7f),51.491926,-0.088441,517(458d6),51.494268,-0.083157,449.0427725661867
214,517(458d6),51.494268,-0.083157,402(8df36),51.491347,-0.072245,822.3165204852992
215,402(8df36),51.491347,-0.072245,157(05905),51.492274,-0.065234,496.21600024814177
216,157(05905),51.492274,-0.065234,138(6e8c2),51.488158,-0.068634,514.6675215256515
217,138(6e8c2),51.488158,-0.068634,298(a5dd1),51.488404,-0.071058,170.04805868270682
218,298(a5dd1),51.488404,-0.071058,410(f02c2),51.485008,-0.072296,387.2250498882335
219,410(f02c2),51.485008,-0.072296,573(60d52),51.481773,-0.080152,652.1694232716247
220,573(60d52),51.481773,-0.080152,107(480e3),51.475251,-0.073932,843.4948739776029
221,107(480e3),51.475251,-0.073932,509(30d1a),51.472736,-0.068681,458.77352486011426
222,509(30d1a),51.472736,-0.068681,397(b560c),51.47072,-0.069112,226.14796341846323
223,397(b560c),51.47072,-0.069112,265(70700),51.456574,-0.069622,1573.3601653906157
224,265(70700),51.456574,-0.069622,78(a14f0),51.454714,-0.064836,390.82189787968355
225,78(a14f0),51.454714,-0.064836,477(f4a14),51.452926,-0.062738,246.29439419000087
226,477(f4a14),51.452926,-0.062738,252(bc97f),51.439813,-0.055552,1540.7985911327232
227,252(bc97f),51.439813,-0.055552,391(957cf),51.427032,-0.035466,1989.601991548003
228,391(957cf),51.427032,-0.035466,436(15ff6),51.416061,-0.055438,1845.5385069296137
229,436(15ff6),51.416061,-0.055438,440(d58f6),51.400629,-0.03598,2183.1024086167977
230,440(d58f6),51.400629,-0.03598,374(f6f39),51.394167,-0.042682,855.8557989862898
