Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
160,24(ca598),51.619443,-0.077598,561(4d2c0),51.613718,-0.069,870.4305374205513
161,561(4d2c0),51.613718,-0.069,287(dded9),51.610971,-0.070922,333.03766958606104
162,287(dded9),51.610971,-0.070922,490(ef0b1),51.606501,-0.066548,581.6207692840837
163,490(ef0b1),51.606501,-0.066548,409(f3ee1),51.61388,-0.065772,822.2552513091138
164,409(f3ee1),51.61388,-0.065772,11(a0def),51.620426,-0.060842,803.5359625949837
165,11(a0def),51.620426,-0.060842,424(76697),51.628983,-0.045407,1428.5012521189612
166,424(76697),51.628983,-0.045407,556(3a496),51.62818,-0.03933,428.862981996956
167,556(3a496),51.62818,-0.03933,437(9bdee),51.632317,-0.052301,1006.5571306635442
168,437(9bdee),51.632317,-0.052301,75(d2c1d),51.636226,-0.052682,435.45561921825
169,75(d2c1d),51.636226,-0.052682,200(14b0b),51.636943,-0.041192,796.9552913068574
170,200(14b0b),51.636943,-0.041192,295(d1ba6),51.650752,-0.029726,1727.3356984265572
171,295(d1ba6),51.650752,-0.029726,450(801c9),51.656005,-0.035686,714.3086550067858
172,450(801c9),51.656005,-0.035686,68(50ed1),51.679836,-0.048564,2794.7589291439344
173,68(50ed1),51.679836,-0.048564,362(fe7ae),51.661535,-0.061618,2225.2023439133873
174,362(fe7ae),51.661535,-0.061618,454(8d2d7),51.655359,-0.052513,930.6285660619782
175,454(8d2d7),51.655359,-0.052513,267(662e9),51.657767,-0.069253,1185.4019806747258
176,267(662e9),51.657767,-0.069253,102(af637),51.656002,-0.08779,1293.6914043966199
177,102(af637),51.656002,-0.08779,386(61e92),51.666585,-0.085508,1187.255977241469
178,386(61e92),51.666585,-0.085508,146(2b603),51.646539,-0.135165,4086.8419306876253
179,146(2b603),51.646539,-0.135165,395(30704),51.651448,-0.178057,3009.2099544798684
180,395(30704),51.651448,-0.178057,347(ba542),51.64643,-0.21435,2565.4149349611776
181,347(ba542),51.64643,-0.21435,29(ba74e),51.616224,-0.254319,4346.448669471847
182,29(ba74e),51.616224,-0.254319,194(cfec3),51.596899,-0.24128,2329.8795606767744
183,194(cfec3),51.596899,-0.24128,249(cce32),51.589555,-0.258056,1417.6849217720203
184,249(cce32),51.589555,-0.258056,193(87975),51.592759,-0.306788,3385.299604692224
185,193(87975),51.592759,-0.306788,270(90290),51.602816,-0.307699,1120.0563132318998
186,270(90290),51.602816,-0.307699,23(56bcd),51.614863,-0.326938,1886.6583705143146
187,23(56bcd),51.614863,-0.326938,340(3ffb2),51.597678,-0.333864,1969.8359844343236
188,340(3ffb2),51.597678,-0.333864,404(61f08),51.586772,-0.333354,1213.2035244705446
189,404(61f08),51.586772,-0.333354,94(8e6f9),51.583803,-0.325639,626.9914314616783
190,94(8e6f9),51.583803,-0.325639,570(9b30d),51.581095,-0.335683,756.5021707618517
191,570(9b30d),51.581095,-0.335683,398(5e408),51.579667,-0.334538,177.40545917081403
192,398(5e408),51.579667,-0.334538,245(bebb5),51.57771,-0.344943,751.203644991073
193,245(bebb5),51.57771,-0.344943,268(96939),51.570924,-0.363082,1463.1269891311238
194,268(96939),51.570924,-0.363082,208(a7ebe),51.556292,-0.361011,1633.2899417180643
195,208(a7ebe),51.556292,-0.361011,12(b4b46),51.568804,-0.395826,2779.8141651817314
196,12(b4b46),51.568804,-0.395826,203(23239),51.579181,-0.399098,1175.8173027210423
197,203(23239),51.579181,-0.399098,274(0ad97),51.588571,-0.39731,1051.4033656055683
198,274(0ad97),51.588571,-0.39731,251(a8c25),51.594505,-0.419132,1645.5735788732707
199,251(a8c25),51.594505,-0.419132,389(e280f),51.588228,-0.436794,1405.6508477561047
200,389(e280f),51.588228,-0.436794,17(86e93),51.568875,-0.412302,2737.7383525114888
201,17(86e93),51.568875,-0.412302,224(bbb28),51.566119,-0.417289,461.2216996726935
202,224(bbb28),51.566119,-0.417289,231(e53f8),51.563817,-0.443468,1827.5529583764896
203,231(e53f8),51.563817,-0.443468,132(12325),51.551486,-0.452096,1495.2672409171944
204,132(12325),51.551486,-0.452096,184(292c6),51.543677,-0.477901,1984.4277165512374
205,184(292c6),51.543677,-0.477901,145(27e0c),51.546608,-0.480687,378.596915337416
206,145(27e0c),51.546608,-0.480687,256(0ee10),51.546064,-0.483806,224.00113010922604
207,256(0ee10),51.546064,-0.483806,416(36116),51.525812,-0.487838,2269.1219432362113
208,416(36116),51.525812,-0.487838,64(d0c60),51.536406,-0.461014,2197.8557837658395
209,64(d0c60),51.536406,-0.461014,350(15e84),51.535191,-0.45474,454.4924464823494
210,350(15e84),51.535191,-0.45474,197(bad43),51.521135,-0.434272,2108.953685950829
211,197(bad43),51.521135,-0.434272,304(bf103),51.523934,-0.423047,836.6592165318234
212,304(bf103),51.523934,-0.423047,480(55f0d),51.52274,-0.417193,426.21517954717643
213,480(55f0d),51.52274,-0.417193,163(f00de),51.527333,-0.415751,520.3704947566073
214,163(f00de),51.527333,-0.415751,127(4709f),51.504444,-0.418792,2553.8246183825718
215,127(4709f),51.504444,-0.418792,367(cd848),51.518214,-0.397791,2111.071616151501
216,367(cd848),51.518214,-0.397791,242(4ee9a),51.524856,-0.385089,1147.9528123622222
217,242(4ee9a),51.524856,-0.385089,489(54e6b),51.510221,-0.384742,1627.514869290646
218,489(54e6b),51.510221,-0.384742,332(f4456),51.507422,-0.38657,335.96411833317006
219,332(f4456),51.507422,-0.38657,443(99bdc),51.483613,-0.373023,2808.6381907371397
220,443(99bdc),51.483613,-0.373023,279(fe864),51.497717,-0.416058,3367.0522738528916
221,279(fe864),51.497717,-0.416058,3(fdde0),51.500839,-0.418139,375.8509506972422
222,3(fdde0),51.500839,-0.418139,505(1d259),51.497865,-0.437115,1354.5339449589908
223,505(1d259),51.497865,-0.437115,581(5099b),51.49506,-0.476135,2719.14006296085
224,581(5099b),51.49506,-0.476135,303(1c795),51.470361,-0.458471,3006.47418863956
225,303(1c795),51.470361,-0.458471,101(15f40),51.459853,-0.44738,1398.4085498722754
226,101(15f40),51.459853,-0.44738,331(ab447),51.447195,-0.416454,2563.799584924394
227,331(ab447),51.447195,-0.416454,123(ec311),51.473328,-0.385556,3609.201756727583
228,123(ec311),51.473328,-0.385556,495(4521a),51.470774,-0.366079,1378.601939418635
229,495(4521a),51.470774,-0.366079,243(c59bd),51.46912,-0.364328,220.30725004168193
230,243(c59bd),51.46912,-0.364328,576(5da55),51.46912,-0.364328,0.0
231,576(5da55),51.46912,-0.364328,520(48feb),51.473944,-0.324351,2820.432681400876
232,520(48feb),51.473944,-0.324351,444(6616d),51.454398,-0.319555,2198.6637310472797
233,444(6616d),51.454398,-0.319555,461(41072),51.443194,-0.337248,1747.9679448703273
234,461(41072),51.443194,-0.337248,462(7a64e),51.43917,-0.361192,1718.8154004786786
235,462(7a64e),51.43917,-0.361192,283(6389b),51.442223,-0.366033,477.31248701664003
